date,topic,news_volume,avg_sentiment,median_sentiment,sentiment_std,max_sentiment,min_sentiment,avg_prob_positive,avg_prob_negative,avg_prob_neutral,sentiment_volume_weighted
2024-04-01,oil,1,0.9882989301035985,0.9882989301035985,0.0,0.9882989301035985,0.9882989301035985,0.9941341280937195,0.0019446202786639333,0.003921204246580601,0.6850366169517197
2024-04-02,gold,1,0.9685061167107427,0.9685061167107427,0.0,0.9685061167107427,0.9685061167107427,0.9841280579566956,0.001369917648844421,0.014502066187560558,0.6713172841531126
2024-04-02,oil,1,0.9937943889670444,0.9937943889670444,0.0,0.9937943889670444,0.9937943889670444,0.9968928098678589,0.0009323222911916673,0.002174884080886841,0.6888457787688005
2024-04-03,gold,2,0.49388025783384626,0.49388025783384626,0.6984290244323449,0.9877441571874622,1.6358480230276723e-05,0.49898620368912816,0.0012353422644082457,0.4997784800361842,0.542582920386838
2024-04-03,oil,2,-0.01607850622324003,-0.01607850622324003,1.222357787567761,0.848258974402109,-0.880415986848589,0.46180206967983395,0.4820974599570036,0.056100478395819664,-0.017664044520278175
2024-04-04,gold,1,0.9902324723094659,0.9902324723094659,0.0,0.9902324723094659,0.9902324723094659,0.9951051473617554,0.0013616846408694983,0.0035330953542143106,0.6863768462802103
2024-04-04,oil,3,0.3296628173438481,0.9913286712367028,1.1495428366131588,0.9953726423919388,-0.9977128615970973,0.6645458327548113,0.33342154081522796,0.002032651857007295,0.4570097047546731
2024-04-05,gold,2,-0.8897245405081736,-0.8897245405081736,0.042363119275595607,-0.8597692915961854,-0.9196797894201618,0.015016959048807621,0.9432608485221863,0.04172216169536114,-0.977462313731867
2024-04-05,oil,3,0.36248688554847225,0.974450531728576,1.072163649907961,0.9885245171906835,-0.8755143922738426,0.6648354359592,0.31327096729849774,0.021893578271071117,0.5025135254157582
2024-04-07,gold,1,1.7557025313820127e-05,1.7557025313820127e-05,0.0,1.7557025313820127e-05,1.7557025313820127e-05,0.004193202126771212,0.00016064677038230002,0.9956461787223816,1.216960259529401e-05
2024-04-07,oil,2,0.9827096982922934,0.9827096982922934,0.001857333508951074,0.9840230314113977,0.9813963651731891,0.9913173615932465,0.0008398624486289918,0.007842801976948977,1.0796169507372442
2024-04-08,gold,3,0.4161269582756,0.9959533798143069,1.0044168832899116,0.9961012494868379,-0.7436737544743448,0.7008184442917506,0.2899380692882308,0.00924347119871527,0.5768744557674362
2024-04-08,oil,2,0.015399073733368074,0.015399073733368074,1.3847933355431337,0.9945958318378559,-0.9637976843711198,0.5001838671742007,0.4912820004101377,0.008534126041922718,0.016917611637584474
2024-04-09,gold,1,0.9869743950526161,0.9869743950526161,0.0,0.9869743950526161,0.9869743950526161,0.9934667944908142,0.0013250563060864806,0.005208271089941263,0.6841185192155784
2024-04-09,oil,2,-0.5309321850809927,-0.5309321850809927,0.3451233248455937,-0.28689314173702574,-0.7749712284249598,0.01937743928283453,0.7082434892654419,0.2723790854215622,-0.5832886229793899
2024-04-10,gold,1,0.9655671127042872,0.9655671127042872,0.0,0.9655671127042872,0.9655671127042872,0.9826332330703735,0.0009606410749256611,0.016406161710619926,0.6692801218123836
2024-04-10,oil,1,0.9932084041863565,0.9932084041863565,0.0,0.9932084041863565,0.9932084041863565,0.9965986609458923,0.0006090339156799018,0.00279242149554193,0.6884396050702155
2024-04-11,gold,1,0.8165591762291712,0.8165591762291712,0.0,0.8165591762291712,0.8165591762291712,0.9043943881988525,0.03701365366578102,0.05859198421239853,0.5659956907636015
2024-04-11,oil,2,-0.008160967867580953,-0.008160967867580953,0.011829470353014283,0.000203730836880669,-0.016525666572042574,0.026173606514930725,0.0671317050801008,0.9066946804523468,-0.008965739586750015
2024-04-12,gold,2,0.9956359311345246,0.9956359311345246,0.0002601219918750857,0.9958198651589152,0.995451997110134,0.9978161156177521,0.0008692080446053296,0.0013147419958841056,1.0938178689839047
2024-04-12,oil,2,-0.13608804346561337,-0.13608804346561337,1.2174498009691663,0.7247789665538967,-0.9969550534851235,0.4262516678572865,0.5180100575089455,0.055738308816216886,-0.1495079968921227
2024-04-14,oil,3,0.33827588349252863,0.8824820642611063,1.0356928598485053,0.9884197364759771,-0.8560741502594974,0.6469831272649268,0.3089215829386376,0.044095277320593596,0.4689499497885415
2024-04-15,gold,3,0.5057067146001506,0.3855751443488284,0.4430060800549436,0.9963891405298577,0.13515585892176557,0.6622642874717712,0.0021322584555794797,0.33560342392108095,0.7010583668306546
2024-04-15,oil,3,-0.6607022014984607,-0.9884464172714837,0.5722454599442945,6.291619735754317e-05,-0.9937231034212558,0.0032345693616662174,0.6641646306961775,0.3326007582557698,-0.9159277363168138
2024-04-16,gas,1,0.9969910574022927,0.9969910574022927,0.0,0.9969910574022927,0.9969910574022927,0.9984943866729736,0.0002989571075886488,0.001206549466587603,0.6910615404818777
2024-04-16,gold,1,0.9946680964567249,0.9946680964567249,0.0,0.9946680964567249,0.9946680964567249,0.9973307847976685,0.0007568664732389152,0.0019123738165944815,0.6894513866519066
2024-04-16,oil,2,-0.9716221085541661,-0.9716221085541661,0.030548972179053346,-0.9500207231680783,-0.9932234939402539,0.0021400199620984495,0.9856514632701874,0.012208547443151474,-1.067435988399227
2024-04-17,gold,1,-0.2276090945871223,-0.2276090945871223,0.0,-0.2276090945871223,-0.2276090945871223,0.339833527803421,0.5857439041137695,0.07442256808280945,-0.15776660218286573
2024-04-17,oil,1,-0.9926925899475666,-0.9926925899475666,0.0,-0.9926925899475666,-0.9926925899475666,0.0004308689967729151,0.9963396787643433,0.003229432040825486,-0.6880820698849057
2024-04-18,gold,2,0.5917845175253849,0.5917845175253849,0.5658515545282257,0.9919019888772427,0.19166704617352703,0.7191939502954483,0.032469394558575004,0.24833664612378925,0.6501417431969162
2024-04-18,oil,1,-0.9503542438888072,-0.9503542438888072,0.0,-0.9503542438888072,-0.9503542438888072,0.008994998410344124,0.9749026298522949,0.01610235497355461,-0.6587353646847053
2024-04-19,gold,1,0.9942831815765114,0.9942831815765114,0.0,0.9942831815765114,0.9942831815765114,0.9971376657485962,0.0006012952653691173,0.002261020243167877,0.689184583987931
